job_id,tool_id,tool_version,state,memory.max_usage_in_bytes,cpuacct.usage,process_count,galaxy_slots,runtime_seconds,ref_data_size,input_data_size_1,input_data_size_2
c685cc0022bf1bc1,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,32014282752.0000000,55941115548482.0000000,48.0000000,32.0000000,1914.0000000,0,5623417156,5917669619
9d6c2f05967175e6,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,ok,50725285888.0000000,88432700819343.0000000,48.0000000,32.0000000,2982.0000000,0,5623417156,5917669619
359924a3d352cdfb,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,31373537280.0000000,36200844423968.0000000,48.0000000,16.0000000,2452.0000000,0,5623417156,5917669619
a0707534875380bc,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,14753792.0000000,137824603.0000000,48.0000000,32.0000000,6.0000000,0,5623417156,5917669619
df1b6a284634859f,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,17179766784.0000000,133391992156.0000000,48.0000000,4.0000000,91.0000000,0,5623417156,5917669619
d0ced393bfface79,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,30742302720.0000000,16560159563312.0000000,48.0000000,8.0000000,2181.0000000,0,5623417156,5917669619
70899e3384f5a91b,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,34359623680.0000000,120001634185184.0000000,48.0000000,8.0000000,15071.0000000,0,5623417156,5917669619
f45bfc10b1bf68e3,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,error,0,0,0,0,0,0,5623417156,5917669619
c853e861a9199b71,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,40604569600.0000000,128068872997809.0000000,48.0000000,16.0000000,8221.0000000,0,5623417156,5917669619
23df52555f24b5af,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,17179353088.0000000,88681243822.0000000,48.0000000,4.0000000,118.0000000,0,5623417156,5917669619
084b2de2a1da1e58,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,55543431168.0000000,122803471140270.0000000,48.0000000,32.0000000,4067.0000000,0,5623417156,5917669619
